"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007264",8.33734221080601,-21.663376631979,4.00560937432285,-5.40825991941393,6.36400219992174e-08,1.62958231331746e-05
"ENSG00000034053",23.4926234604783,-24.1462295787543,3.15734816424007,-7.64762969514514,2.04717731437021e-14,3.27807929235535e-11
"ENSG00000049247",34.8676791253571,24.1100947418069,2.92241140291709,8.25006866512385,1.58303541423407e-16,7.78283531054039e-13
"ENSG00000065325",19.8961359109403,14.8085218101078,3.46678804424001,4.27153942529363,1.94128197567974e-05,0.00384843496178705
"ENSG00000079689",29.6486625539559,22.6019623355657,3.26733113269702,6.91756097488315,4.59485638301887e-12,3.32208116492264e-09
"ENSG00000081277",22.7790594904375,-19.127835587212,3.23426204976268,-5.9141267135777,3.33640968124609e-09,1.07915293137357e-06
"ENSG00000088836",19.2128798767795,-23.4617451872242,3.86981853825468,-6.06275073502689,1.3381296737155e-09,4.69912909132493e-07
"ENSG00000089723",20.0768879990197,-22.2100506954662,3.13944938256217,-7.07450510870798,1.4998304154194e-12,1.31674397399428e-09
"ENSG00000101280",19.4533607541458,22.1877551353679,3.97338994076842,5.58408700533353,2.34931078985765e-08,6.41675087069785e-06
"ENSG00000102984",16.7084031626729,-23.3810861995445,3.61974434582686,-6.45931976563487,1.0517466544745e-10,4.70073386550767e-08
"ENSG00000104888",11.5976969657869,-21.120512333092,3.4105640103139,-6.19267436975859,5.91518530418731e-10,2.20313765375049e-07
"ENSG00000104938",17.3622109577228,22.7703595661652,3.55481311539381,6.40550116898131,1.49876237073666e-10,6.46360992937692e-08
"ENSG00000118849",43.1239212157073,-18.5876992117149,2.43221064588296,-7.64230649313975,2.13364529646431e-14,3.27807929235535e-11
"ENSG00000124568",52.3117194500323,24.7006783008903,4.35044745679216,5.67773281856932,1.36491684412173e-08,3.90144021653492e-06
"ENSG00000135094",39.1362445822098,24.6168386315311,3.4848152078607,7.06402984468241,1.6174198291755e-12,1.37101428416524e-09
"ENSG00000137101",50.2269515269839,-22.6798422860185,3.22030875305307,-7.04275397957305,1.88476849044359e-12,1.54437930106948e-09
"ENSG00000141433",6.88175070098273,21.309981173436,4.37805165545162,4.86745768449315,1.13043026010917e-06,0.000241636840469596
"ENSG00000143278",16.0359857106763,21.7467967033015,3.54367567086349,6.13679092646828,8.42050869372871e-10,3.04401389278293e-07
"ENSG00000143355",9.87441112854403,-22.9701060266405,3.47499302287617,-6.61011572553566,3.84019704054736e-11,1.8879944730147e-08
"ENSG00000145569",15.7910722248081,-22.621668585972,3.08738923751487,-7.32711907883078,2.35152870437959e-13,2.62751266413905e-10
"ENSG00000145920",8.88365915023063,-23.010835203782,4.42813592078015,-5.19650607285965,2.03068970419872e-07,4.84644799112747e-05
"ENSG00000150656",45.4215300550385,21.3142447089444,2.23274279234071,9.54621588391717,1.3452024341256e-21,1.10225887452252e-17
"ENSG00000152315",22.3276959695422,22.2253885475931,3.54158764110508,6.27554385203865,3.4841426017554e-10,1.35947926089446e-07
"ENSG00000152430",7.94251468768129,-22.6841937879029,4.39462566625791,-5.16180341867863,2.44582060638858e-07,5.61898711647142e-05
"ENSG00000153975",27.8021487004856,-9.11699784443482,2.14810348298683,-4.24420793348284,2.19366872902619e-05,0.00431398117575374
"ENSG00000154099",38.8746233788445,-6.65230212822255,1.48589385735482,-4.47696993651011,7.57099059555101e-06,0.00156395034302382
"ENSG00000158731",10.7248939085328,19.7670569878477,3.29082088821219,6.00672526987227,1.89307887401249e-09,6.28860336229392e-07
"ENSG00000158865",24.6471309646729,23.7011159994598,4.37621140514667,5.41589832053952,6.09817505403289e-08,1.57795093871828e-05
"ENSG00000159650",18.9698395862463,21.0156203210242,3.52254537182342,5.96603254258317,2.43091821681041e-09,7.9675775474178e-07
"ENSG00000168282",97.8942432422783,24.2343037579492,3.90358268476904,6.20822093829507,5.35877775281574e-10,2.02660730338025e-07
"ENSG00000170469",34.8270385807233,-24.1873759543545,2.95212443021539,-8.19321018680426,2.54349431842184e-16,1.04206962225743e-12
"ENSG00000171790",13.2377018369411,-23.049447933116,3.93941620671136,-5.8509806335893,4.88683129835984e-09,1.50160108720352e-06
"ENSG00000174384",78.48605402012,-24.6555870695373,4.00304333233371,-6.15921063616453,7.31084332340893e-10,2.68231568023938e-07
"ENSG00000177380",36.3970497385658,20.8148792636512,3.20792505877751,6.48858027611888,8.6648985050887e-11,4.01887801985076e-08
"ENSG00000182327",35.0184863988977,23.0205189459071,2.91389133287026,7.90026679657653,2.78307076340917e-15,6.84134455061243e-12
"ENSG00000185031",43.6016160005967,-24.8242683143524,2.59602222800494,-9.56242517747237,1.15029044005646e-21,1.10225887452252e-17
"ENSG00000185332",8.87405439298352,21.2296440914392,3.35318264705151,6.33119228089367,2.43273948115526e-10,9.96693365429308e-08
"ENSG00000187010",18.4605090616612,-23.2885833466349,3.09627925094513,-7.52147382686046,5.4162171215931e-14,6.98347972423645e-11
"ENSG00000197467",38.607296710435,-9.87723546061653,2.24937337736367,-4.39110534516637,1.12775881331734e-05,0.00229112125198073
"ENSG00000198237",35.9119653421486,-23.5708203714075,3.10541154184224,-7.59024047338486,3.19312329967211e-14,4.36074205291888e-11
"ENSG00000200795",11.4579498251377,-22.6479373381471,3.74019617059846,-6.05528060698573,1.40173099248334e-09,4.78697672732349e-07
"ENSG00000203724",25.9346772319749,-23.1695601941505,2.87210283350293,-8.06710676368506,7.19835990321523e-16,2.52785833058338e-12
"ENSG00000206633",21.7928980912929,-23.5524858201067,4.36472740389101,-5.39609548103976,6.81067127968381e-08,1.72597857110502e-05
"ENSG00000206760",39.6335960734329,-24.2825187224868,3.41359595008257,-7.11347185711872,1.13159568773418e-12,1.0698801998416e-09
"ENSG00000207304",20.7715629787091,-23.434213545529,3.33509904903927,-7.02654200098782,2.11714870728311e-12,1.67883062975592e-09
"ENSG00000213212",15.6938693375432,-21.965966118154,3.2907889253681,-6.67498481863191,2.47257759469359e-11,1.24042658026036e-08
"ENSG00000214562",86.8496274982042,-8.9584432057559,1.67929087155897,-5.33465843081688,9.57245774126593e-08,2.40112404281428e-05
"ENSG00000215595",12.7031360154014,14.8610994064215,3.45128285476654,4.30596390727493,1.66260165718899e-05,0.0033227702387821
"ENSG00000222489",60.7313746337762,-23.8073041542385,3.26615683458443,-7.28908786686223,3.12060490722814e-13,3.19627957622842e-10
"ENSG00000223443",16.2771936934571,22.6592511026743,3.23369779659055,7.00722594627274,2.43089534902767e-12,1.86738342093119e-09
"ENSG00000224596",28.7333710213117,-22.6291848157387,2.89638357574729,-7.81291021162491,5.58824071041418e-15,1.14475110952835e-11
"ENSG00000225282",12.3665750912754,-18.1725064225322,3.12302951246549,-5.81887117940995,5.9246371335541e-09,1.7980176545312e-06
