10368    ,CACNG3 : calcium voltage-gated channel auxiliary subunit gamma 3
10369    ,CACNG2 : calcium voltage-gated channel auxiliary subunit gamma 2
1496    ,CTNNA2 : catenin alpha 2
775    ,CACNA1C : calcium voltage-gated channel subunit alpha1 C
776    ,CACNA1D : calcium voltage-gated channel subunit alpha1 D
2697    ,GJA1 : gap junction protein alpha 1
1674    ,DES : desmin
779    ,CACNA1S : calcium voltage-gated channel subunit alpha1 S
781    ,CACNA2D1 : calcium voltage-gated channel auxiliary subunit alpha2delta 1
782    ,CACNB1 : calcium voltage-gated channel auxiliary subunit beta 1
783    ,CACNB2 : calcium voltage-gated channel auxiliary subunit beta 2
784    ,CACNB3 : calcium voltage-gated channel auxiliary subunit beta 3
22801    ,ITGA11 : integrin subunit alpha 11
786    ,CACNG1 : calcium voltage-gated channel auxiliary subunit gamma 1
59283    ,CACNG8 : calcium voltage-gated channel auxiliary subunit gamma 8
6932    ,TCF7 : transcription factor 7
93589    ,CACNA2D4 : calcium voltage-gated channel auxiliary subunit alpha2delta 4
6934    ,TCF7L2 : transcription factor 7 like 2
89    ,ACTN3 : actinin alpha 3 (gene/pseudogene)
3908    ,LAMA2 : laminin subunit alpha 2
83439    ,TCF7L1 : transcription factor 7 like 1
2010    ,EMD : emerin
4000    ,LMNA : lamin A/C
1499    ,CTNNB1 : catenin beta 1
1829    ,DSG2 : desmoglein 2
9254    ,CACNA2D2 : calcium voltage-gated channel auxiliary subunit alpha2delta 2
1832    ,DSP : desmoplakin
1756    ,DMD : dystrophin
6442    ,SGCA : sarcoglycan alpha
6443    ,SGCB : sarcoglycan beta
6444    ,SGCD : sarcoglycan delta
6445    ,SGCG : sarcoglycan gamma
88    ,ACTN2 : actinin alpha 2
60    ,ACTB : actin beta
778    ,CACNA1F : calcium voltage-gated channel subunit alpha1 F
29119    ,CTNNA3 : catenin alpha 3
1824    ,DSC2 : desmocollin 2
8515    ,ITGA10 : integrin subunit alpha 10
8516    ,ITGA8 : integrin subunit alpha 8
1605    ,DAG1 : dystroglycan 1
5318    ,PKP2 : plakophilin 2
3655    ,ITGA6 : integrin subunit alpha 6
71    ,ACTG1 : actin gamma 1
27091    ,CACNG5 : calcium voltage-gated channel auxiliary subunit gamma 5
27092    ,CACNG4 : calcium voltage-gated channel auxiliary subunit gamma 4
1000    ,CDH2 : cadherin 2
488    ,ATP2A2 : ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
1495    ,CTNNA1 : catenin alpha 1
3672    ,ITGA1 : integrin subunit alpha 1
3673    ,ITGA2 : integrin subunit alpha 2
3674    ,ITGA2B : integrin subunit alpha 2b
3675    ,ITGA3 : integrin subunit alpha 3
3676    ,ITGA4 : integrin subunit alpha 4
3678    ,ITGA5 : integrin subunit alpha 5
3679    ,ITGA7 : integrin subunit alpha 7
3680    ,ITGA9 : integrin subunit alpha 9
3728    ,JUP : junction plakoglobin
6546    ,SLC8A1 : solute carrier family 8 member A1
3685    ,ITGAV : integrin subunit alpha V
785    ,CACNB4 : calcium voltage-gated channel auxiliary subunit beta 4
3688    ,ITGB1 : integrin subunit beta 1
3690    ,ITGB3 : integrin subunit beta 3
3691    ,ITGB4 : integrin subunit beta 4
3693    ,ITGB5 : integrin subunit beta 5
3694    ,ITGB6 : integrin subunit beta 6
3695    ,ITGB7 : integrin subunit beta 7
3696    ,ITGB8 : integrin subunit beta 8
51176    ,LEF1 : lymphoid enhancer binding factor 1
6262    ,RYR2 : ryanodine receptor 2
55799    ,CACNA2D3 : calcium voltage-gated channel auxiliary subunit alpha2delta 3
59284    ,CACNG7 : calcium voltage-gated channel auxiliary subunit gamma 7
59285    ,CACNG6 : calcium voltage-gated channel auxiliary subunit gamma 6
