From	To	Species	Gene Name
ENSG00000173482	XM_011525722	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	BC040543	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	NM_002845	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025900	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025901	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025902	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	NM_001105244	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_011525710	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025903	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025904	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_011525712	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025905	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	X58288	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_011525713	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025906	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025907	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_011525715	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025908	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_011525716	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025909	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_011525717	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	AA281524	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	BQ926672	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XR_001753258	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	BC051651	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	BF725297	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025898	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025899	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	DC381904	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	AK294492	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	BC151842	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025911	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025912	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025910	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	AK303652	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025895	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025894	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025897	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_017025896	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000173482	XM_011525708	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
ENSG00000095787	AA424883	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	NM_100486	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	XM_017016315	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	XM_017016316	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AF116666	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AK124104	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AK091453	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AK225846	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AB075491	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	JF432760	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	XM_017016318	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	XM_017016317	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AK297460	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AK290174	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AK055852	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	XR_001747110	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	BC004258	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	BI463901	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	CB143386	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	NM_100264	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	XR_930491	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	BC010356	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	CN415473	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	NM_016628	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	XM_011519491	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AB058747	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AK223600	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AL713727	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	BI226998	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000095787	AF208858	Homo sapiens	WW domain containing adaptor with coiled-coil(WAC)
ENSG00000118058	L04731	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AY187945	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AY187944	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000118058	AK303179	Homo sapiens	lysine methyltransferase 2A(KMT2A)
