"DiseaseName","Regulator","Target","RegulationDiretion","ExpressionParttern","InfluencedFunction","RegulatoryMechanism","More Details"
"Acute lymphocytic leukemia","SNHG16","miR-124-3p","negatively-E","upregulation","tumor-suppressive function(+)","epigenetic regulation;sponge","More Details"
"Acute myeloid leukemia","CASC15","SOX4","positively-E","upregulation","cell survival(+);cell proliferation(-)","transcriptional regulation","More Details"
"Acute myeloid leukemia","H19","ID2","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-19a);ceRNA(miR-19b)","More Details"
"Acute myocardial infarction","H19","SOX8","positively-E","downregulation","cell injury(-);PI3K/AKT/mTOR signaling pathway(+)","ceRNA(miR-139)","More Details"
"Anaplastic large cell lymphoma","MALAT1","EZH2","interact","upregulation","prognosis(-)","interact with protein","More Details"
"Anaplastic large cell lymphoma","MALAT1","SUZ12","interact","upregulation","prognosis(-)","interact with protein","More Details"
"Anaplastic large cell lymphoma","MALAT1","BMI1","positively-E","upregulation","prognosis(-)","histone modification","More Details"
"Aortic valve disease","TUG1","RUNX2","positively-E","upregulation","cell differentiation(+)","ceRNA(miR-204-5p)","More Details"
"Aortic valve disease","MALAT1","SMAD4","positively-E","upregulation","cell differentiation(+)","ceRNA(miR-204)","More Details"
"Aortic valve stenosis","H19","NOTCH1","negatively-E","upregulation","biomineral tissue development(+)","transcriptional regulation","More Details"
"Atherosclerosis","GAS5","miR-26a","negatively-F","upregulation","apoptosis process(+);cell autophagy(-)","sponge","More Details"
"Atherosclerosis","MALAT1","SOCS1","positively-E","upregulation","inflammatory response(+);apoptosis process(-)","ceRNA(miR-155)","More Details"
"Atherosclerosis","NEAT1","miR-342-3p","negatively-E","upregulation","inflammatory response(+)","transcriptional regulation","More Details"
"Atherosclerosis","XIST","NOD2","positively-E","upregulation","cell injury(+)","ceRNA(miR-320)","More Details"
"Atherosclerosis","GAS5","PDCD4","positively-E","upregulation","cell proliferation(+);apoptosis process(-)","ceRNA(miR-21)","More Details"
"Atherosclerosis","MEG3","miR-223","negatively-F","upregulation","apoptosis process(+)","sponge","More Details"
"Atherosclerosis","H19","WNT1","positively-E","upregulation","cell proliferation(+);apoptosis process(-)","ceRNA(miR-148b)","More Details"
"Atherosclerosis","H19","miR-130b","negatively-F","upregulation","inflammatory response(+);adipogenesis(+)","sponge","More Details"
"Brain cancer","TUG1","HSF2","positively-E","downregulation","blood-tumor barrier(-)","ceRNA(miR-144)","More Details"
"Brain injury","GAS5","miR-23a","negatively-F","upregulation","cell injury(+);hippocampal neuron function(-)","sponge","More Details"
"Breast cancer","NEAT1","ZEB1","positively-E","upregulation","cancer progression(+);cell growth(+);cell migration(+);cell invasion(+)","ceRNA(miR-448)","More Details"
"Breast cancer","SNHG1","miR-448","positively-E","upregulation","cell differentiation(+);immune evasion(+)","transcriptional regulation","More Details"
"Breast cancer","SNHG1","IDO1","positively-E","upregulation","cell differentiation(+);immune evasion(+)","ceRNA(miR-448)","More Details"
"Breast cancer","SNHG6","MAPK6","positively-E","upregulation","cell proliferation(+);cell invasion(+);cell migration(+)","ceRNA(miR-26a-5p)","More Details"
"Breast cancer","SNHG14","PABPC1","positively-E","upregulation","chemoresistance(+);tumorigenesis(+)","histone modification","More Details"
"Breast cancer","TUG1","miR-9","negatively-F","downregulation","cell proliferation(+);apoptosis process(-)","sponge","More Details"
"Breast cancer","SNHG15","miR-211-3p","negatively-F","upregulation","cell proliferation(+);cell migration(+);cell invasion(+)","sponge","More Details"
"Breast cancer","GAS5","ATG3","positively-E","downregulation","cell autophagy(+)","ceRNA(miR-23a)","More Details"
"Breast cancer","NEAT1","HMGA2","positively-E","upregulation","chemoresistance(-);cell growth(+);cell invasion(+)","ceRNA(miR-211)","More Details"
"Breast cancer","NEAT1","miR-128","negatively-F","upregulation","cancer progression(+);cell proliferation(+);cell invasion(+)","sponge","More Details"
"Breast cancer","H19","DNMT1","positively-E","upregulation","cell proliferation(+);cell invasion(+)","ceRNA(miR-152)","More Details"
"Breast cancer","MEG3","CDH1","positively-E","downregulation","epithelial to mesenchymal transition(-)","ceRNA(miR-421)","More Details"
"Breast cancer","KCNQ1OT1","CCNE2","positively-E","upregulation","cell growth(+)","ceRNA(miR-145-5p)","More Details"
"Breast cancer","NEAT1","SIN3A","interact","upregulation","epithelial to mesenchymal transition(+);cell migration(+);cell metastasis(+)","interact with protein","More Details"
"Breast cancer","NEAT1","GATA3","negatively-E","upregulation","epithelial to mesenchymal transition(+);cancer progression(+);cell metastasis(+)","transcriptional regulation","More Details"
"Breast cancer","SNHG16","E2F5","positively-E","upregulation","cell migration(+)","ceRNA(miR-98)","More Details"
"Breast cancer","NEAT1","miR-129-5p","negatively-E","upregulation","tumorigenesis(+)","DNA methylation","More Details"
"Breast cancer","H19","LIN28A","positively-E","downregulation","cell stemness(+)","ceRNA(let-7)","More Details"
"Breast cancer","H19","CYTH3","positively-E","upregulation","epithelial to mesenchymal transition(+)","ceRNA(miR-200b;miR-200c)","More Details"
"Breast cancer","H19","GIT2","positively-E","upregulation","mesenchymal to epithelial transition(+)","ceRNA(let-7b)","More Details"
"Breast cancer","MALAT1","PROM1","negatively-E","downregulation","epithelial to mesenchymal transition(-)","transcriptional regulation","More Details"
"Breast cancer","MALAT1","CDK4","positively-E","upregulation","cancer progression(+);cell proliferation(+)","ceRNA(miR-124)","More Details"
"Breast cancer","NEAT1","EZH2","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-101-3p)","More Details"
"Breast cancer","MALAT1","TEAD1","interact","upregulation","cell metastasis(+)","protein stability","More Details"
"Breast cancer","MALAT1","VEGFA","interact","upregulation","angiogenesis(-);cell metastasis(+)","interact with mRNA","More Details"
"Breast cancer","MALAT1","ELAVL1","interact","upregulation","epithelial to mesenchymal transition(-)","interact with protein","More Details"
"Cancer","MEG3","GDF15","positively-E","downregulation","cell proliferation(-)","transcriptional regulation","More Details"
"Cancer","MEG3","TP53","positively-E","downregulation","cell proliferation(-)","transcriptional regulation","More Details"
"Cardiac fibrosis","GAS5","PTEN","positively-E","downregulation","cell proliferation(-);cell growth(-);fibrotic(-)","ceRNA(miR-21)","More Details"
