p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.66422112366e-46	1.2687855317e-43	Ribosome - Homo sapiens (human)	KEGG	path:hsa03010	ENSG00000148303; ENSG00000233927; ENSG00000182899; ENSG00000201355; ENSG00000108298; ENSG00000197756; ENSG00000071082; ENSG00000140986; ENSG00000136942; ENSG00000202257; ENSG00000177600; ENSG00000188846; ENSG00000200343; ENSG00000231500; ENSG00000142676; ENSG00000140988; ENSG00000171858; ENSG00000177954; ENSG00000166441; ENSG00000114391; ENSG00000201588; ENSG00000202526; ENSG00000122026; ENSG00000112306; ENSG00000163682; ENSG00000199334; ENSG00000199337; ENSG00000142534; ENSG00000137818; ENSG00000186468; ENSG00000100316; ENSG00000145592; ENSG00000137154; ENSG00000145425; ENSG00000199396; ENSG00000008988; ENSG00000199270; ENSG00000200624; ENSG00000134419; ENSG00000210082; ENSG00000200370; ENSG00000142937; ENSG00000182774; ENSG00000170889; ENSG00000201925; ENSG00000105372; ENSG00000149806; ENSG00000199910; ENSG00000147403; ENSG00000213741; ENSG00000161016; ENSG00000202521; ENSG00000171863; ENSG00000199352; ENSG00000156482; ENSG00000200381; ENSG00000130255	6144; 6152; 6156; 6157; 6165; 6167; 6168; 100169756; 100169758; 6176; 100169761; 100169762; 100169763; 100169764; 6181; 100169768; 6187; 6189; 6194; 6201; 6202; 6203; 6205; 6206; 6210; 6218; 6222; 6223; 6224; 6227; 6228; 6232; 6234; 6235; 6160; 100169751; 2197; 100169753; 100169754; 100169755; 100169757; 100169759; 100169765; 100169766; 100169767; 25873; 9045; 4550; 11224; 6122; 6123; 6130; 6132; 6133; 6134; 6135; 6143	153	153
3.38137446529e-12	3.78713940112e-10	Cardiac muscle contraction - Homo sapiens (human)	KEGG	path:hsa04260	ENSG00000198336; ENSG00000126267; ENSG00000160808; ENSG00000010256; ENSG00000197616; ENSG00000173660; ENSG00000127540; ENSG00000111245; ENSG00000164405; ENSG00000198938; ENSG00000198467; ENSG00000176340; ENSG00000131143; ENSG00000140416; ENSG00000092054; ENSG00000114854; ENSG00000143549; ENSG00000118194; ENSG00000127184	7170; 7169; 4633; 4634; 4635; 4624; 4514; 1350; 1351; 1327; 1340; 27089; 7384; 7388; 7134; 10975; 7139; 7168; 4625	78	78
1.02429267872e-10	7.64805200109e-09	Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human)	KEGG	path:hsa05410	ENSG00000160808; ENSG00000140416; ENSG00000175084; ENSG00000197616; ENSG00000092054; ENSG00000196569; ENSG00000111245; ENSG00000198467; ENSG00000134571; ENSG00000232810; ENSG00000118194; ENSG00000102683; ENSG00000213949; ENSG00000136244; ENSG00000114854; ENSG00000143549; ENSG00000170624; ENSG00000132356	7168; 7169; 7170; 1674; 4633; 4634; 4624; 3569; 6444; 6445; 7134; 5562; 3672; 7139; 4625; 3908; 7124; 4607	83	83
3.47566313945e-10	1.94637135809e-08	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	KEGG	path:hsa03008	ENSG00000199910; ENSG00000201355; ENSG00000263934; ENSG00000200370; ENSG00000202521; ENSG00000199396; ENSG00000199270; ENSG00000201588; ENSG00000202526; ENSG00000200624; ENSG00000210082; ENSG00000199334; ENSG00000199337; ENSG00000199352; ENSG00000202257; ENSG00000200381; ENSG00000200343; ENSG00000201925; ENSG00000277027	100169753; 100169754; 100169755; 100169756; 100169757; 100169758; 100169759; 100169761; 100169762; 100169763; 100169764; 100169765; 100169766; 100169767; 100169768; 100169751; 780851; 6023; 4550	105	100
2.74183076361e-09	1.2283401821e-07	Dilated cardiomyopathy (DCM) - Homo sapiens (human)	KEGG	path:hsa05414	ENSG00000129467; ENSG00000160808; ENSG00000140416; ENSG00000175084; ENSG00000197616; ENSG00000196569; ENSG00000111245; ENSG00000198467; ENSG00000134571; ENSG00000102683; ENSG00000213949; ENSG00000170624; ENSG00000092054; ENSG00000114854; ENSG00000143549; ENSG00000232810; ENSG00000118194	7168; 7169; 7170; 4624; 4625; 4633; 4634; 3672; 1674; 7124; 196883; 6444; 6445; 3908; 7134; 7139; 4607	90	89
2.00942217504e-08	7.5018427868e-07	Rheumatoid arthritis - Homo sapiens (human)	KEGG	path:hsa05323	ENSG00000108691; ENSG00000117410; ENSG00000169429; ENSG00000136244; ENSG00000231389; ENSG00000164400; ENSG00000125538; ENSG00000102524; ENSG00000124875; ENSG00000149968; ENSG00000179344; ENSG00000163739; ENSG00000136888; ENSG00000204287; ENSG00000271503; ENSG00000232810	533; 3113; 3119; 3122; 6347; 6352; 4314; 6372; 9550; 2919; 1437; 10673; 7124; 3553; 3569; 3576	90	89
2.92010058924e-08	9.34432188558e-07	Alzheimer disease - Homo sapiens (human)	KEGG	path:hsa05010	ENSG00000167792; ENSG00000124172; ENSG00000173660; ENSG00000174886; ENSG00000186010; ENSG00000111640; ENSG00000164405; ENSG00000198938; ENSG00000154518; ENSG00000232810; ENSG00000176340; ENSG00000147684; ENSG00000127540; ENSG00000160014; ENSG00000125538; ENSG00000182621; ENSG00000127184; ENSG00000126267; ENSG00000010256; ENSG00000175445; ENSG00000131143; ENSG00000109390	514; 518; 2597; 4715; 4717; 4723; 23236; 7384; 7388; 10975; 808; 1327; 1340; 1350; 1351; 126328; 51079; 4514; 4023; 7124; 27089; 3553	171	171
4.75533771997e-08	1.33149456159e-06	Oxidative phosphorylation - Homo sapiens (human)	KEGG	path:hsa00190	ENSG00000126267; ENSG00000176340; ENSG00000167792; ENSG00000124172; ENSG00000117410; ENSG00000173660; ENSG00000174886; ENSG00000169020; ENSG00000127540; ENSG00000186010; ENSG00000164405; ENSG00000198938; ENSG00000154518; ENSG00000131143; ENSG00000136888; ENSG00000010256; ENSG00000147684; ENSG00000109390; ENSG00000127184	514; 518; 521; 533; 4715; 4717; 4723; 7384; 7388; 10975; 1327; 1340; 1350; 1351; 9550; 126328; 51079; 4514; 27089	133	133
2.57852440405e-07	6.41766073897e-06	Huntington disease - Homo sapiens (human)	KEGG	path:hsa05016	ENSG00000167792; ENSG00000124172; ENSG00000173660; ENSG00000174886; ENSG00000186010; ENSG00000164405; ENSG00000198938; ENSG00000154518; ENSG00000175416; ENSG00000176340; ENSG00000151729; ENSG00000147684; ENSG00000127540; ENSG00000233276; ENSG00000182621; ENSG00000005022; ENSG00000127184; ENSG00000177700; ENSG00000126267; ENSG00000010256; ENSG00000131143; ENSG00000109390	514; 518; 1340; 291; 292; 4717; 4723; 1212; 23236; 7388; 10975; 2876; 7384; 1327; 5441; 1350; 1351; 126328; 51079; 4514; 4715; 27089	193	193
2.98481476693e-07	6.55853848393e-06	Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)	KEGG	path:hsa04932	ENSG00000126267; ENSG00000176340; ENSG00000010256; ENSG00000173660; ENSG00000174886; ENSG00000147684; ENSG00000127540; ENSG00000186010; ENSG00000164405; ENSG00000198938; ENSG00000169429; ENSG00000132356; ENSG00000131143; ENSG00000125538; ENSG00000167792; ENSG00000232810; ENSG00000136244; ENSG00000109390; ENSG00000127184	4715; 4717; 4723; 7384; 7388; 10975; 1327; 1340; 126328; 51079; 4514; 1350; 1351; 5562; 27089; 7124; 3553; 3569; 3576	149	149
