"","p.value","cor_estimate"
"ENSG00000002549",1.14882412499456e-31,0.952614676292165
"ENSG00000002933",3.90341084779325e-15,0.811186385156722
"ENSG00000003147",1.02236980905927e-30,0.948811885690952
"ENSG00000003393",1.91342368278135e-33,0.958979492823483
"ENSG00000004059",2.4686309732068e-24,0.913573511416938
"ENSG00000004142",1.78663823920488e-22,0.89911298498163
"ENSG00000004534",1.06328224738086e-33,0.959818232788205
"ENSG00000004779",1.85154269258721e-24,0.914463542900867
"ENSG00000004897",4.8847438054425e-28,0.936296529802916
"ENSG00000005022",3.06991499533942e-30,0.946782196758003
"ENSG00000005189",1.15351364967929e-31,0.952607865424264
"ENSG00000005194",3.02222106246317e-30,0.946811673017969
"ENSG00000005238",1.62768585939354e-35,0.965301637698418
"ENSG00000005486",2.16577997230904e-26,0.927074554207307
"ENSG00000006007",2.63939365773427e-34,0.961738183329757
"ENSG00000006125",5.76977526747727e-33,0.95735520494667
"ENSG00000006327",1.15001238935697e-14,0.80321619074143
"ENSG00000006468",3.09767865858365e-45,0.984104963537496
"ENSG00000006611",6.46682783069937e-33,0.957183661817365
"ENSG00000006652",3.82979426327215e-29,0.941804750971385
"ENSG00000006695",2.59899857109103e-30,0.947094823754674
"ENSG00000006740",3.79822305428192e-36,0.967026811769257
"ENSG00000007080",1.31297587420594e-32,0.956102592897158
"ENSG00000007202",8.76810537898784e-33,0.956722310439618
"ENSG00000008018",3.43651844210977e-28,0.937088301797551
"ENSG00000008130",4.4737229338453e-32,0.954164805911236
"ENSG00000008517",3.7821381005567e-34,0.961251637129882
"ENSG00000008710",1.28741880910232e-17,0.847807467943949
"ENSG00000008838",1.79896129024105e-30,0.947778874181188
"ENSG00000008853",1.16628250794055e-33,0.959687408387859
"ENSG00000008869",2.11411792195239e-33,0.958835339221547
"ENSG00000009335",7.8153693575129e-23,0.902091620900395
"ENSG00000009844",6.39681001478193e-37,0.969020508491063
"ENSG00000009954",7.4235795588749e-36,0.966243466602738
"ENSG00000010017",3.65528178595668e-36,0.967071089764592
"ENSG00000010165",9.984709206327e-33,0.956523860713059
"ENSG00000010256",2.35666559150364e-24,0.913717784676575
"ENSG00000010278",4.02767153354244e-24,0.912036483743292
"ENSG00000010322",5.79874325683321e-26,0.924459996520966
"ENSG00000010803",1.44272390761988e-38,0.972866960981537
"ENSG00000010818",1.19043013352265e-35,0.965680104628072
"ENSG00000011028",2.40146290879811e-33,0.958650404426816
"ENSG00000011114",7.97133372945292e-34,0.960223092484401
"ENSG00000011132",8.06464012374258e-33,0.956849552281045
"ENSG00000011275",5.31033957582634e-32,0.953886935812934
"ENSG00000011376",6.169310286977e-30,0.945451128481354
"ENSG00000011405",8.76123015036773e-34,0.960090773415464
"ENSG00000011465",4.89613833738848e-21,0.886192166770108
"ENSG00000011485",6.72300551785005e-26,0.924059043996541
"ENSG00000012174",1.5986187693292e-28,0.938776542643776
"ENSG00000012822",1.04847013440702e-33,0.959838044095967
"ENSG00000013374",1.39393506557721e-31,0.95229023516205
"ENSG00000014216",2.42490754606655e-21,0.889074089508255
"ENSG00000014641",6.01919472942613e-28,0.935821463147645
"ENSG00000014824",6.90900771630853e-32,0.953457018918555
"ENSG00000015479",1.9636807266412e-28,0.938327469900475
"ENSG00000015676",3.11685533770373e-33,0.958269376335393
"ENSG00000016864",4.02861673354377e-29,0.941700172669988
"ENSG00000018189",2.99404305442842e-17,0.842928143340536
"ENSG00000021776",1.52693717004039e-37,0.970534772495113
"ENSG00000022277",3.17832673816806e-18,0.855535331619466
"ENSG00000023171",9.87452083934133e-34,0.95992260766703
"ENSG00000023572",5.62138274370346e-32,0.95379429340769
"ENSG00000023734",2.53353990208623e-30,0.947142546309638
"ENSG00000023902",2.89086118939004e-24,0.913080853510496
"ENSG00000025039",2.2820758538416e-33,0.958724503727775
"ENSG00000025293",2.00270894666494e-33,0.958913644245898
"ENSG00000026025",5.86384638237113e-21,0.885439670207051
"ENSG00000030582",7.0951757439208e-28,0.935444767311077
"ENSG00000033030",2.39517703851669e-32,0.955163044476452
"ENSG00000033100",2.99142606855366e-30,0.94683094434444
"ENSG00000033867",2.89899929132931e-28,0.93746762184064
"ENSG00000034510",4.73643512125323e-27,0.930927174963695
"ENSG00000035403",4.82060141018027e-28,0.936326476288046
"ENSG00000036448",1.0784718569438e-25,0.922762904017095
"ENSG00000036549",4.63359264756421e-33,0.957683079227033
"ENSG00000037474",4.89139384592652e-32,0.954020349151631
"ENSG00000037757",5.53791543497178e-33,0.957416722657444
"ENSG00000039560",1.11323519808008e-26,0.928787989008896
"ENSG00000041988",3.16175417038022e-29,0.94219907549135
"ENSG00000043591",2.36199472465575e-27,0.93261966881901
"ENSG00000044115",7.32216943197147e-25,0.917269353890712
"ENSG00000044574",4.0160700920366e-19,0.866195126894824
"ENSG00000047056",1.58427543262844e-32,0.955811215028559
"ENSG00000047188",1.33978678717769e-33,0.959490359569438
"ENSG00000047249",2.78950967093341e-28,0.937553151003883
"ENSG00000047315",1.60352112186345e-29,0.943573752885563
"ENSG00000047410",2.62970262161891e-36,0.96744871726632
"ENSG00000047621",1.33790549909119e-34,0.962640216876534
"ENSG00000047849",2.45624993012459e-21,0.88902211740826
"ENSG00000049323",2.51924803443808e-33,0.95858070116049
"ENSG00000049860",3.82265501504065e-33,0.957968595971584
"ENSG00000050165",1.43098072106515e-28,0.939017015451082
"ENSG00000050820",5.96829897000888e-29,0.940881431005123
"ENSG00000051108",8.61855291280882e-33,0.956748516153414
"ENSG00000052749",1.82085802363806e-29,0.943318973958111
"ENSG00000053918",6.60200591642134e-32,0.953531562380211
"ENSG00000055208",5.31057497125893e-40,0.975820751647061
"ENSG00000056586",2.34200191369013e-38,0.972403828672537
"ENSG00000056972",2.43467647726126e-33,0.958630421232348
"ENSG00000057608",1.0424201373055e-37,0.970925448526785
"ENSG00000058668",1.30806001707934e-37,0.970693759464115
"ENSG00000058673",4.27703979955867e-29,0.94157628111587
"ENSG00000058799",3.828088776542e-32,0.954415937514281
"ENSG00000059804",2.64376295825151e-24,0.913360010886964
"ENSG00000060138",2.69541572787826e-26,0.926502003050196
"ENSG00000061273",6.069802166472e-33,0.95727904608432
"ENSG00000062194",1.15478201902901e-33,0.959701450630101
"ENSG00000062485",1.18068968939379e-19,0.872102054647422
"ENSG00000062582",3.97939027872348e-30,0.946291272634735
"ENSG00000062716",1.82471202151316e-33,0.959047920324741
"ENSG00000062822",3.33088338695544e-32,0.954638927580767
"ENSG00000063046",2.47076080365564e-25,0.920433442074035
"ENSG00000063176",9.58242054013869e-33,0.956586771127521
"ENSG00000063177",3.34196042297597e-23,0.905055809586797
"ENSG00000064601",2.26032119790382e-35,0.964899848752988
"ENSG00000064932",9.68734632197137e-38,0.970999874942748
"ENSG00000064961",6.23922989762035e-32,0.95362408123183
"ENSG00000064995",4.35324948516386e-31,0.950333064701603
"ENSG00000065000",1.4088765542257e-33,0.959418676552669
"ENSG00000065243",9.12272135802764e-28,0.934864629414175
"ENSG00000065308",3.75465102374403e-34,0.961261564761102
"ENSG00000065518",2.49465680314123e-31,0.951300024416732
"ENSG00000065609",3.46622696063507e-33,0.958113099309199
"ENSG00000065665",5.14267447159526e-34,0.960831046833444
"ENSG00000065717",4.83830541705871e-31,0.950147384124535
"ENSG00000066322",7.27568885512646e-32,0.953372060100472
"ENSG00000066379",1.25789781718182e-32,0.956168796270501
"ENSG00000066933",3.99867031723282e-38,0.971883122921422
"ENSG00000067057",5.04359058812022e-22,0.895238514784841
"ENSG00000067167",9.45663762989166e-23,0.901413214867569
"ENSG00000067221",4.90128794234548e-31,0.950124602890143
"ENSG00000067225",5.07160986509201e-32,0.953961659538046
"ENSG00000067365",1.57335767764795e-32,0.95582197735245
"ENSG00000067836",3.65451691531368e-32,0.954490433071181
"ENSG00000068079",4.69791814270955e-35,0.963987487889135
"ENSG00000068097",9.89409337863581e-35,0.963033851040057
"ENSG00000068305",2.11355734844258e-23,0.906615205414486
"ENSG00000068383",4.56816076240804e-21,0.886480052538431
